symbol;currency_group;currency_base;currency_quote
"SEK/JMD";"Exotic-Cross";"Swedish Krona";"Jamaican Dollar"
"SEK/JOD";"Exotic-Cross";"Swedish Krona";"Jordan Dinar"
"SEK/JPY";"Exotic-Cross";"Swedish Krona";"Japanese Yen"
"SEK/KES";"Exotic-Cross";"Swedish Krona";"Kenyan Shilling"
"SEK/KRW";"Exotic-Cross";"Swedish Krona";"Korean Won"
"SEK/LBP";"Exotic-Cross";"Swedish Krona";"Lebanese Pound"
"SEK/LKR";"Exotic-Cross";"Swedish Krona";"Sri Lankan Rupee"
"SEK/MAD";"Exotic-Cross";"Swedish Krona";"Moroccan Dirham"
"SEK/MXN";"Exotic-Cross";"Swedish Krona";"Mexican Peso"
"SEK/MYR";"Exotic-Cross";"Swedish Krona";"Malaysian Ringgit"
"SEK/NAD";"Exotic-Cross";"Swedish Krona";"Namibian Dollar"
"SEK/NOK";"Exotic-Cross";"Swedish Krona";"Norwegian Krone"
"SEK/NPR";"Exotic-Cross";"Swedish Krona";"Nepalese Rupee"
"SEK/NZD";"Exotic-Cross";"Swedish Krona";"New Zealand Dollar"
"SEK/OMR";"Exotic-Cross";"Swedish Krona";"Omani Rial"
"SEK/PAB";"Exotic-Cross";"Swedish Krona";"Panamanian Balboa"
"SEK/PHP";"Exotic-Cross";"Swedish Krona";"Philippine Peso"
"SEK/PKR";"Exotic-Cross";"Swedish Krona";"Pakistani Rupee"
"SEK/PLN";"Exotic-Cross";"Swedish Krona";"Polish Zloty"
"SEK/QAR";"Exotic-Cross";"Swedish Krona";"Qatari Riyal"
"SEK/RON";"Exotic-Cross";"Swedish Krona";"Romanian Leu"
"SEK/RUB";"Exotic-Cross";"Swedish Krona";"Russian Ruble"
"SEK/SAR";"Exotic-Cross";"Swedish Krona";"Saudi Riyal"
"SEK/SGD";"Exotic-Cross";"Swedish Krona";"Singapore Dollar"
"SEK/THB";"Exotic-Cross";"Swedish Krona";"Thai Baht"
"SEK/TRY";"Exotic-Cross";"Swedish Krona";"Turkish Lira"
"SEK/TWD";"Exotic-Cross";"Swedish Krona";"Taiwan Dollar"
"SEK/USD";"Exotic";"Swedish Krona";"US Dollar"
"SEK/VEF";"Exotic-Cross";"Swedish Krona";"Venezuelan Bolivar"
"SEK/XAF";"Exotic-Cross";"Swedish Krona";"Central African CFA franc"
"SEK/XCD";"Exotic-Cross";"Swedish Krona";"East Caribbean Dollar"
"SEK/XOF";"Exotic-Cross";"Swedish Krona";"West African CFA franc"
"SEK/ZAR";"Exotic-Cross";"Swedish Krona";"South African Rand"
"SGD/AED";"Exotic-Cross";"Singapore Dollar";"UAE Dirham"
"SGD/ARS";"Exotic-Cross";"Singapore Dollar";"Argentinian Peso"
"SGD/AUD";"Exotic-Cross";"Singapore Dollar";"Australian Dollar"
"SGD/BBD";"Exotic-Cross";"Singapore Dollar";"Barbadian Dollar"
"SGD/BHD";"Exotic-Cross";"Singapore Dollar";"Baharain Dinar"
"SGD/BRL";"Exotic-Cross";"Singapore Dollar";"Brazil Real"
"SGD/CAD";"Exotic-Cross";"Singapore Dollar";"Canadian Dollar"
"SGD/CHF";"Exotic-Cross";"Singapore Dollar";"Swiss Franc"
"SGD/CLP";"Exotic-Cross";"Singapore Dollar";"Chilean Peso"
"SGD/CNY";"Exotic-Cross";"Singapore Dollar";"Chinese Yuan"
"SGD/CZK";"Exotic-Cross";"Singapore Dollar";"Czech Koruna"
"SGD/DKK";"Exotic-Cross";"Singapore Dollar";"Danish Krone"
"SGD/EGP";"Exotic-Cross";"Singapore Dollar";"Egyptian Pound"
"SGD/EUR";"Exotic-Cross";"Singapore Dollar";"Euro"
"SGD/GBP";"Exotic-Cross";"Singapore Dollar";"British Pound"
"SGD/HKD";"Exotic-Cross";"Singapore Dollar";"Hong Kong Dollar"
"SGD/HUF";"Exotic-Cross";"Singapore Dollar";"Hungarian Forint"
"SGD/IDR";"Exotic-Cross";"Singapore Dollar";"Indonesian Rupiah"
"SGD/ILS";"Exotic-Cross";"Singapore Dollar";"Israeli Shekel"
"SGD/INR";"Exotic-Cross";"Singapore Dollar";"Indian Rupee"
"SGD/ISK";"Exotic-Cross";"Singapore Dollar";"Icelandic Krona"
"SGD/JMD";"Exotic-Cross";"Singapore Dollar";"Jamaican Dollar"
"SGD/JOD";"Exotic-Cross";"Singapore Dollar";"Jordan Dinar"
"SGD/JPY";"Exotic-Cross";"Singapore Dollar";"Japanese Yen"
"SGD/KES";"Exotic-Cross";"Singapore Dollar";"Kenyan Shilling"
"SGD/KRW";"Exotic-Cross";"Singapore Dollar";"Korean Won"
"SGD/KWD";"Minor";"Singapore Dollar";"Kuwaiti Dinar"
"SGD/LBP";"Exotic-Cross";"Singapore Dollar";"Lebanese Pound"
"SGD/LKR";"Exotic-Cross";"Singapore Dollar";"Sri Lankan Rupee"
"SGD/MAD";"Exotic-Cross";"Singapore Dollar";"Moroccan Dirham"
"SGD/MXN";"Exotic-Cross";"Singapore Dollar";"Mexican Peso"
"SGD/MYR";"Exotic-Cross";"Singapore Dollar";"Malaysian Ringgit"
"SGD/NAD";"Exotic-Cross";"Singapore Dollar";"Namibian Dollar"
"SGD/NOK";"Exotic-Cross";"Singapore Dollar";"Norwegian Krone"
"SGD/NPR";"Exotic-Cross";"Singapore Dollar";"Nepalese Rupee"
"SGD/NZD";"Exotic-Cross";"Singapore Dollar";"New Zealand Dollar"
"SGD/OMR";"Exotic-Cross";"Singapore Dollar";"Omani Rial"
"SGD/PAB";"Exotic-Cross";"Singapore Dollar";"Panamanian Balboa"
"SGD/PHP";"Exotic-Cross";"Singapore Dollar";"Philippine Peso"
"SGD/PKR";"Exotic-Cross";"Singapore Dollar";"Pakistani Rupee"
"SGD/PLN";"Exotic-Cross";"Singapore Dollar";"Polish Zloty"
"SGD/QAR";"Exotic-Cross";"Singapore Dollar";"Qatari Riyal"
"SGD/RON";"Exotic-Cross";"Singapore Dollar";"Romanian Leu"
"SGD/RUB";"Exotic-Cross";"Singapore Dollar";"Russian Ruble"
"SGD/SAR";"Exotic-Cross";"Singapore Dollar";"Saudi Riyal"
"SGD/SEK";"Exotic-Cross";"Singapore Dollar";"Swedish Krona"
"SGD/THB";"Exotic-Cross";"Singapore Dollar";"Thai Baht"
"SGD/TRY";"Exotic-Cross";"Singapore Dollar";"Turkish Lira"
"SGD/TWD";"Exotic-Cross";"Singapore Dollar";"Taiwan Dollar"
"SGD/USD";"Exotic";"Singapore Dollar";"US Dollar"
"SGD/VEF";"Exotic-Cross";"Singapore Dollar";"Venezuelan Bolivar"
"SGD/XAF";"Exotic-Cross";"Singapore Dollar";"Central African CFA franc"
"SGD/XCD";"Exotic-Cross";"Singapore Dollar";"East Caribbean Dollar"
"SGD/XOF";"Exotic-Cross";"Singapore Dollar";"West African CFA franc"
"SGD/ZAR";"Exotic-Cross";"Singapore Dollar";"South African Rand"
"SYP/USD";"Minor";"Syrian Pound";"US Dollar"
"THB/AED";"Exotic-Cross";"Thai Baht";"UAE Dirham"
"THB/ARS";"Exotic-Cross";"Thai Baht";"Argentinian Peso"
"THB/AUD";"Exotic-Cross";"Thai Baht";"Australian Dollar"
"THB/BHD";"Exotic-Cross";"Thai Baht";"Baharain Dinar"
"THB/BRL";"Exotic-Cross";"Thai Baht";"Brazil Real"
"THB/CLP";"Exotic-Cross";"Thai Baht";"Chilean Peso"
"THB/CNY";"Exotic-Cross";"Thai Baht";"Chinese Yuan"
"THB/CZK";"Exotic-Cross";"Thai Baht";"Czech Koruna"
"THB/DKK";"Exotic-Cross";"Thai Baht";"Danish Krone"
"THB/EGP";"Exotic-Cross";"Thai Baht";"Egyptian Pound"
"THB/GBP";"Minor";"Thai Baht";"British Pound"
"THB/HKD";"Exotic-Cross";"Thai Baht";"Hong Kong Dollar"
"THB/HUF";"Exotic-Cross";"Thai Baht";"Hungarian Forint"
"THB/IDR";"Exotic-Cross";"Thai Baht";"Indonesian Rupiah"
"THB/ILS";"Exotic-Cross";"Thai Baht";"Israeli Shekel"
"THB/INR";"Exotic-Cross";"Thai Baht";"Indian Rupee"
"THB/ISK";"Exotic-Cross";"Thai Baht";"Icelandic Krona"
"THB/JMD";"Exotic-Cross";"Thai Baht";"Jamaican Dollar"
"THB/JPY";"Exotic-Cross";"Thai Baht";"Japanese Yen"
"THB/KES";"Exotic-Cross";"Thai Baht";"Kenyan Shilling"
"THB/KRW";"Exotic-Cross";"Thai Baht";"Korean Won"
"THB/LBP";"Exotic-Cross";"Thai Baht";"Lebanese Pound"
"THB/LKR";"Exotic-Cross";"Thai Baht";"Sri Lankan Rupee"
"THB/MAD";"Exotic-Cross";"Thai Baht";"Moroccan Dirham"
"THB/MXN";"Exotic-Cross";"Thai Baht";"Mexican Peso"
"THB/MYR";"Exotic-Cross";"Thai Baht";"Malaysian Ringgit"
"THB/NAD";"Exotic-Cross";"Thai Baht";"Namibian Dollar"
"THB/NOK";"Exotic-Cross";"Thai Baht";"Norwegian Krone"
"THB/NPR";"Exotic-Cross";"Thai Baht";"Nepalese Rupee"
"THB/PHP";"Exotic-Cross";"Thai Baht";"Philippine Peso"
"THB/PKR";"Exotic-Cross";"Thai Baht";"Pakistani Rupee"
"THB/QAR";"Exotic-Cross";"Thai Baht";"Qatari Riyal"
"THB/RUB";"Exotic-Cross";"Thai Baht";"Russian Ruble"
"THB/SAR";"Exotic-Cross";"Thai Baht";"Saudi Riyal"
"THB/SEK";"Exotic-Cross";"Thai Baht";"Swedish Krona"
"THB/TRY";"Exotic-Cross";"Thai Baht";"Turkish Lira"
"THB/TWD";"Exotic-Cross";"Thai Baht";"Taiwan Dollar"
"THB/USD";"Minor";"Thai Baht";"US Dollar"
"THB/XAF";"Exotic-Cross";"Thai Baht";"Central African CFA franc"
"THB/XOF";"Exotic-Cross";"Thai Baht";"West African CFA franc"
"THB/ZAR";"Exotic-Cross";"Thai Baht";"South African Rand"
"TJS/RUB";"Minor";"Tajikistani somoni";"Russian Ruble"
"TMT/RUB";"Minor";"Turkmenistan manat";"Russian Ruble"
"TND/GBP";"Exotic-Cross";"Tunisian Dinar";"British Pound"
"TRY/AED";"Exotic-Cross";"Turkish Lira";"UAE Dirham"
"TRY/ARS";"Exotic-Cross";"Turkish Lira";"Argentinian Peso"
"TRY/AUD";"Exotic-Cross";"Turkish Lira";"Australian Dollar"
"TRY/BBD";"Exotic-Cross";"Turkish Lira";"Barbadian Dollar"
"TRY/BHD";"Exotic-Cross";"Turkish Lira";"Baharain Dinar"
"TRY/BRL";"Exotic-Cross";"Turkish Lira";"Brazil Real"
"TRY/CAD";"Exotic-Cross";"Turkish Lira";"Canadian Dollar"
"TRY/CHF";"Exotic-Cross";"Turkish Lira";"Swiss Franc"
"TRY/CLP";"Exotic-Cross";"Turkish Lira";"Chilean Peso"
"TRY/CNY";"Exotic-Cross";"Turkish Lira";"Chinese Yuan"
"TRY/CZK";"Exotic-Cross";"Turkish Lira";"Czech Koruna"
"TRY/DKK";"Exotic-Cross";"Turkish Lira";"Danish Krone"
"TRY/EGP";"Exotic-Cross";"Turkish Lira";"Egyptian Pound"
"TRY/EUR";"Exotic-Cross";"Turkish Lira";"Euro"
"TRY/GBP";"Exotic-Cross";"Turkish Lira";"British Pound"
"TRY/HKD";"Exotic-Cross";"Turkish Lira";"Hong Kong Dollar"
"TRY/HUF";"Exotic-Cross";"Turkish Lira";"Hungarian Forint"
"TRY/IDR";"Exotic-Cross";"Turkish Lira";"Indonesian Rupiah"
"TRY/ILS";"Exotic-Cross";"Turkish Lira";"Israeli Shekel"
"TRY/INR";"Exotic-Cross";"Turkish Lira";"Indian Rupee"
"TRY/ISK";"Exotic-Cross";"Turkish Lira";"Icelandic Krona"
"TRY/JMD";"Exotic-Cross";"Turkish Lira";"Jamaican Dollar"
"TRY/JOD";"Exotic-Cross";"Turkish Lira";"Jordan Dinar"
"TRY/JPY";"Exotic-Cross";"Turkish Lira";"Japanese Yen"
"TRY/KES";"Exotic-Cross";"Turkish Lira";"Kenyan Shilling"
"TRY/KRW";"Exotic-Cross";"Turkish Lira";"Korean Won"
"TRY/LBP";"Exotic-Cross";"Turkish Lira";"Lebanese Pound"
"TRY/LKR";"Exotic-Cross";"Turkish Lira";"Sri Lankan Rupee"
"TRY/MAD";"Exotic-Cross";"Turkish Lira";"Moroccan Dirham"
"TRY/MXN";"Exotic-Cross";"Turkish Lira";"Mexican Peso"
"TRY/MYR";"Exotic-Cross";"Turkish Lira";"Malaysian Ringgit"
"TRY/NAD";"Exotic-Cross";"Turkish Lira";"Namibian Dollar"
"TRY/NOK";"Exotic-Cross";"Turkish Lira";"Norwegian Krone"
"TRY/NPR";"Exotic-Cross";"Turkish Lira";"Nepalese Rupee"
"TRY/NZD";"Exotic-Cross";"Turkish Lira";"New Zealand Dollar"
"TRY/OMR";"Exotic-Cross";"Turkish Lira";"Omani Rial"
"TRY/PAB";"Exotic-Cross";"Turkish Lira";"Panamanian Balboa"
"TRY/PHP";"Exotic-Cross";"Turkish Lira";"Philippine Peso"
"TRY/PKR";"Exotic-Cross";"Turkish Lira";"Pakistani Rupee"
"TRY/PLN";"Exotic-Cross";"Turkish Lira";"Polish Zloty"
"TRY/QAR";"Exotic-Cross";"Turkish Lira";"Qatari Riyal"
"TRY/RON";"Exotic-Cross";"Turkish Lira";"Romanian Leu"
"TRY/RUB";"Exotic-Cross";"Turkish Lira";"Russian Ruble"
"TRY/SAR";"Exotic-Cross";"Turkish Lira";"Saudi Riyal"
"TRY/SEK";"Exotic-Cross";"Turkish Lira";"Swedish Krona"
"TRY/SGD";"Exotic-Cross";"Turkish Lira";"Singapore Dollar"
"TRY/THB";"Exotic-Cross";"Turkish Lira";"Thai Baht"
"TRY/TWD";"Exotic-Cross";"Turkish Lira";"Taiwan Dollar"
"TRY/UAH";"Minor";"Turkish Lira";"Ukrainian Hryvnia"
"TRY/USD";"Exotic";"Turkish Lira";"US Dollar"
"TRY/VEF";"Exotic-Cross";"Turkish Lira";"Venezuelan Bolivar"
"TRY/XAF";"Exotic-Cross";"Turkish Lira";"Central African CFA franc"
"TRY/XCD";"Exotic-Cross";"Turkish Lira";"East Caribbean Dollar"
"TRY/XOF";"Exotic-Cross";"Turkish Lira";"West African CFA franc"
"TRY/ZAR";"Exotic-Cross";"Turkish Lira";"South African Rand"
"TWD/AED";"Exotic-Cross";"Taiwan Dollar";"UAE Dirham"
"TWD/ARS";"Exotic-Cross";"Taiwan Dollar";"Argentinian Peso"
"TWD/AUD";"Exotic-Cross";"Taiwan Dollar";"Australian Dollar"
"TWD/BBD";"Exotic-Cross";"Taiwan Dollar";"Barbadian Dollar"
"TWD/BHD";"Exotic-Cross";"Taiwan Dollar";"Baharain Dinar"
"TWD/BRL";"Exotic-Cross";"Taiwan Dollar";"Brazil Real"
"TWD/CAD";"Exotic-Cross";"Taiwan Dollar";"Canadian Dollar"
"TWD/CHF";"Exotic-Cross";"Taiwan Dollar";"Swiss Franc"
"TWD/CLP";"Exotic-Cross";"Taiwan Dollar";"Chilean Peso"
"TWD/CNY";"Exotic-Cross";"Taiwan Dollar";"Chinese Yuan"
"TWD/CZK";"Exotic-Cross";"Taiwan Dollar";"Czech Koruna"
"TWD/DKK";"Exotic-Cross";"Taiwan Dollar";"Danish Krone"
"TWD/EGP";"Exotic-Cross";"Taiwan Dollar";"Egyptian Pound"
"TWD/EUR";"Exotic-Cross";"Taiwan Dollar";"Euro"
"TWD/GBP";"Exotic-Cross";"Taiwan Dollar";"British Pound"
"TWD/HKD";"Exotic-Cross";"Taiwan Dollar";"Hong Kong Dollar"
"TWD/HUF";"Exotic-Cross";"Taiwan Dollar";"Hungarian Forint"
"TWD/IDR";"Exotic-Cross";"Taiwan Dollar";"Indonesian Rupiah"
"TWD/ILS";"Exotic-Cross";"Taiwan Dollar";"Israeli Shekel"
"TWD/INR";"Exotic-Cross";"Taiwan Dollar";"Indian Rupee"
"TWD/ISK";"Exotic-Cross";"Taiwan Dollar";"Icelandic Krona"
"TWD/JMD";"Exotic-Cross";"Taiwan Dollar";"Jamaican Dollar"
"TWD/JOD";"Exotic-Cross";"Taiwan Dollar";"Jordan Dinar"
"TWD/JPY";"Exotic-Cross";"Taiwan Dollar";"Japanese Yen"
"TWD/KES";"Exotic-Cross";"Taiwan Dollar";"Kenyan Shilling"
"TWD/KRW";"Exotic-Cross";"Taiwan Dollar";"Korean Won"
"TWD/LBP";"Exotic-Cross";"Taiwan Dollar";"Lebanese Pound"
"TWD/LKR";"Exotic-Cross";"Taiwan Dollar";"Sri Lankan Rupee"
"TWD/MAD";"Exotic-Cross";"Taiwan Dollar";"Moroccan Dirham"
"TWD/MXN";"Exotic-Cross";"Taiwan Dollar";"Mexican Peso"
"TWD/MYR";"Exotic-Cross";"Taiwan Dollar";"Malaysian Ringgit"
"TWD/NAD";"Exotic-Cross";"Taiwan Dollar";"Namibian Dollar"
"TWD/NOK";"Exotic-Cross";"Taiwan Dollar";"Norwegian Krone"
"TWD/NPR";"Exotic-Cross";"Taiwan Dollar";"Nepalese Rupee"
"TWD/NZD";"Exotic-Cross";"Taiwan Dollar";"New Zealand Dollar"
"TWD/OMR";"Exotic-Cross";"Taiwan Dollar";"Omani Rial"
"TWD/PAB";"Exotic-Cross";"Taiwan Dollar";"Panamanian Balboa"
"TWD/PHP";"Exotic-Cross";"Taiwan Dollar";"Philippine Peso"
"TWD/PKR";"Exotic-Cross";"Taiwan Dollar";"Pakistani Rupee"
"TWD/PLN";"Exotic-Cross";"Taiwan Dollar";"Polish Zloty"
"TWD/QAR";"Exotic-Cross";"Taiwan Dollar";"Qatari Riyal"
"TWD/RON";"Exotic-Cross";"Taiwan Dollar";"Romanian Leu"
"TWD/RUB";"Exotic-Cross";"Taiwan Dollar";"Russian Ruble"
"TWD/SAR";"Exotic-Cross";"Taiwan Dollar";"Saudi Riyal"
"TWD/SEK";"Exotic-Cross";"Taiwan Dollar";"Swedish Krona"
"TWD/SGD";"Exotic-Cross";"Taiwan Dollar";"Singapore Dollar"
"TWD/THB";"Exotic-Cross";"Taiwan Dollar";"Thai Baht"
"TWD/TRY";"Exotic-Cross";"Taiwan Dollar";"Turkish Lira"
"TWD/USD";"Exotic";"Taiwan Dollar";"US Dollar"
"TWD/VEF";"Exotic-Cross";"Taiwan Dollar";"Venezuelan Bolivar"
"TWD/XAF";"Exotic-Cross";"Taiwan Dollar";"Central African CFA franc"
"TWD/XCD";"Exotic-Cross";"Taiwan Dollar";"East Caribbean Dollar"
"TWD/XOF";"Exotic-Cross";"Taiwan Dollar";"West African CFA franc"
"TWD/ZAR";"Exotic-Cross";"Taiwan Dollar";"South African Rand"
"UAH/DKK";"Exotic-Cross";"Ukrainian Hryvnia";"Danish Krone"
"UAH/KZT";"Minor";"Ukrainian Hryvnia";"Kazakh Tenge"
"UAH/PLN";"Minor";"Ukrainian Hryvnia";"Polish Zloty"
"UAH/RUB";"Exotic-Cross";"Ukrainian Hryvnia";"Russian Ruble"
"UAH/USD";"Minor";"Ukrainian Hryvnia";"US Dollar"
"URALS/USD";"Minor";"Urals Crude Oil Spot";"US Dollar"
"USD/AED";"Exotic";"US Dollar";"UAE Dirham"
"USD/AFN";"Minor";"US Dollar";"Afghanistan Afghani"
"USD/ALL";"Exotic";"US Dollar";"Albanian Lek"
"USD/AMD";"Exotic";"US Dollar";"Armenian Dram"
"USD/ANG";"Exotic";"US Dollar";"Antilles Guilder"
"USD/AOA";"Minor";"US Dollar";"Angolan kwanza"
"USD/ARS";"Exotic";"US Dollar";"Argentinian Peso"
"USD/AUD";"Major";"US Dollar";"Australian Dollar"
"USD/AZN";"Exotic";"US Dollar";"Azerbaijani Manat"
"USD/BBD";"Exotic";"US Dollar";"Barbadian Dollar"
"USD/BDT";"Exotic";"US Dollar";"Bangladeshi Taka"
"USD/BGN";"Exotic";"US Dollar";"Bulgarian Lev"
"USD/BHD";"Exotic";"US Dollar";"Baharain Dinar"
"USD/BIF";"Exotic";"US Dollar";"Burundian Franc"
"USD/BND";"Exotic";"US Dollar";"Brunei Dollar"
"USD/BOB";"Exotic";"US Dollar";"Bolivian Boliviano"
"USD/BRL";"Exotic";"US Dollar";"Brazil Real"
"USD/BWP";"Exotic";"US Dollar";"Botswana Pula"
"USD/BYN";"Exotic-Cross";"US Dollar";"Belarusian Ruble"
"USD/BZD";"Exotic";"US Dollar";"Belize Dollar"
"USD/CAD";"Major";"US Dollar";"Canadian Dollar"
"USD/CHF";"Major";"US Dollar";"Swiss Franc"
"USD/CLP";"Exotic";"US Dollar";"Chilean Peso"
"USD/CNH";"Exotic";"US Dollar";"Chinese Yuan (Offshore)"
"USD/CNY";"Exotic";"US Dollar";"Chinese Yuan"
"USD/COP";"Exotic";"US Dollar";"Colombian Peso"
"USD/CRC";"Exotic";"US Dollar";"Costa Rican Colon"
"USD/CZK";"Exotic";"US Dollar";"Czech Koruna"
"USD/DJF";"Exotic";"US Dollar";"Djiboutian Franc"
"USD/DKK";"Exotic";"US Dollar";"Danish Krone"
"USD/DOP";"Exotic";"US Dollar";"Dominican Peso"
"USD/DZD";"Exotic";"US Dollar";"Algerian Dinar"
"USD/EGP";"Exotic";"US Dollar";"Egyptian Pound"
"USD/ETB";"Exotic";"US Dollar";"Ethiopian Birr"
"USD/EUR";"Major";"US Dollar";"Euro"
"USD/FJD";"Exotic";"US Dollar";"Fiji Dollar"
"USD/GBP";"Major";"US Dollar";"British Pound"
"USD/GEL";"Exotic";"US Dollar";"Georgian lari"
"USD/GHS";"Exotic";"US Dollar";"Ghanaian Cedi"
"USD/GMD";"Exotic";"US Dollar";"Gambian Dalasi"
"USD/GNF";"Exotic";"US Dollar";"Guinean Franc"
"USD/GTQ";"Exotic";"US Dollar";"Guatemalan Quetzal"
"USD/HKD";"Exotic";"US Dollar";"Hong Kong Dollar"
"USD/HNL";"Exotic";"US Dollar";"Honduran Lempira"
"USD/HRK";"Exotic";"US Dollar";"Croatian Kuna"
"USD/HTG";"Exotic";"US Dollar";"Haitian Gourde"
"USD/HUF";"Exotic";"US Dollar";"Hungarian Forint"
"USD/IDR";"Exotic";"US Dollar";"Indonesian Rupiah"
"USD/ILS";"Exotic";"US Dollar";"Israeli Shekel"
"USD/INR";"Exotic";"US Dollar";"Indian Rupee"
"USD/IQD";"Exotic";"US Dollar";"Iraqi Dinar"
"USD/ISK";"Exotic";"US Dollar";"Icelandic Krona"
"USD/JMD";"Exotic";"US Dollar";"Jamaican Dollar"
"USD/JOD";"Exotic";"US Dollar";"Jordan Dinar"
"USD/JPY";"Major";"US Dollar";"Japanese Yen"
"USD/KES";"Exotic";"US Dollar";"Kenyan Shilling"
"USD/KGS";"Minor";"US Dollar";"Kyrgyzstan som"
"USD/KHR";"Exotic";"US Dollar";"Cambodian Riel"
"USD/KMF";"Exotic";"US Dollar";"Comorian Franc"
"USD/KRW";"Exotic";"US Dollar";"Korean Won"
"USD/KWD";"Exotic";"US Dollar";"Kuwaiti Dinar"
"USD/KZT";"Exotic";"US Dollar";"Kazakh Tenge"
"USD/LAK";"Exotic";"US Dollar";"Lao Kip"
"USD/LBP";"Exotic";"US Dollar";"Lebanese Pound"
"USD/LKR";"Exotic";"US Dollar";"Sri Lankan Rupee"
"USD/LSL";"Exotic";"US Dollar";"Lesotho loti"
"USD/LYD";"Exotic";"US Dollar";"Libyan Dinar"
"USD/MAD";"Exotic";"US Dollar";"Moroccan Dirham"
"USD/MDL";"Exotic";"US Dollar";"Moldovan Leu"
"USD/MGA";"Exotic";"US Dollar";"Malagasy Ariary"
"USD/MKD";"Exotic";"US Dollar";"Macedonian Denar"
"USD/MMK";"Exotic";"US Dollar";"Myanmar kyat"
"USD/MNT";"Minor";"US Dollar";"Mongolian Tugrik"
"USD/MOP";"Exotic";"US Dollar";"Macanese Pataca"
"USD/MRO";"Exotic";"US Dollar";"Mauritanian ouguiya"
"USD/MUR";"Exotic";"US Dollar";"Mauritian Rupee"
"USD/MVR";"Exotic";"US Dollar";"Maldivian Rufiyaa"
"USD/MWK";"Exotic";"US Dollar";"Malawian Kwacha"
"USD/MXN";"Exotic";"US Dollar";"Mexican Peso"
"USD/MYR";"Exotic";"US Dollar";"Malaysian Ringgit"
"USD/MZN";"Exotic";"US Dollar";"Mozambican Metical"
"USD/NAD";"Exotic";"US Dollar";"Namibian Dollar"
"USD/NGN";"Exotic";"US Dollar";"Nigerian Naira"
"USD/NIO";"Exotic";"US Dollar";"Nicaraguan Cordoba"
"USD/NOK";"Exotic";"US Dollar";"Norwegian Krone"
"USD/NPR";"Exotic";"US Dollar";"Nepalese Rupee"
"USD/NZD";"Major";"US Dollar";"New Zealand Dollar"
"USD/OMR";"Exotic";"US Dollar";"Omani Rial"
"USD/PEN";"Exotic";"US Dollar";"Peru Sol"
"USD/PGK";"Exotic";"US Dollar";"Papua New Guinean kina"
"USD/PHP";"Exotic";"US Dollar";"Philippine Peso"
"USD/PKR";"Exotic";"US Dollar";"Pakistani Rupee"
"USD/PLN";"Exotic";"US Dollar";"Polish Zloty"
"USD/PYG";"Exotic";"US Dollar";"Paraguayan Guarani"
"USD/QAR";"Exotic";"US Dollar";"Qatari Riyal"
"USD/RON";"Exotic";"US Dollar";"Romanian Leu"
"USD/RSD";"Exotic";"US Dollar";"Serbian Dinar"
"USD/RUB";"Minor";"US Dollar";"Russian Ruble"
"USD/RWF";"Exotic";"US Dollar";"Rwandan Franc"
"USD/SAR";"Exotic";"US Dollar";"Saudi Riyal"
"USD/SCR";"Exotic";"US Dollar";"Seychelles Rupee"
"USD/SDG";"Exotic";"US Dollar";"Sudanese Pound"
"USD/SEK";"Exotic";"US Dollar";"Swedish Krona"
"USD/SGD";"Exotic";"US Dollar";"Singapore Dollar"
"USD/SOS";"Exotic";"US Dollar";"Somali Shilling"
"USD/STD";"Exotic";"US Dollar";"Sao Tomean Dobra"
"USD/SVC";"Exotic";"US Dollar";"El Salvador Colon"
"USD/SYP";"Exotic";"US Dollar";"Syrian Pound"
"USD/SZL";"Exotic";"US Dollar";"Swazi Lilangeni"
"USD/THB";"Exotic";"US Dollar";"Thai Baht"
"USD/TJS";"Minor";"US Dollar";"Tajikistani somoni"
"USD/TMT";"Minor";"US Dollar";"Turkmenistan manat"
"USD/TND";"Exotic";"US Dollar";"Tunisian Dinar"
"USD/TRY";"Exotic";"US Dollar";"Turkish Lira"
"USD/TTD";"Exotic";"US Dollar";"Trinidad Dollar"
"USD/TWD";"Exotic";"US Dollar";"Taiwan Dollar"
"USD/TZS";"Exotic";"US Dollar";"Tanzanian Shilling"
"USD/UAH";"Exotic";"US Dollar";"Ukrainian Hryvnia"
"USD/UGX";"Exotic";"US Dollar";"Ugandan Shilling"
"USD/UYU";"Exotic";"US Dollar";"Uruguayan Peso"
"USD/UZS";"Exotic";"US Dollar";"Uzbekistani Sum"
"USD/VEF";"Exotic";"US Dollar";"Venezuelan Bolivar"
"USD/VND";"Exotic";"US Dollar";"Vietnamese Dong"
"USD/VUV";"Exotic";"US Dollar";"Vanuatu vatu"
"USD/XAF";"Exotic";"US Dollar";"Central African CFA franc"
"USD/XCD";"Exotic";"US Dollar";"East Caribbean Dollar"
"USD/XOF";"Exotic";"US Dollar";"West African CFA franc"
"USD/XPF";"Exotic";"US Dollar";"French Pacific Franc"
"USD/YER";"Exotic";"US Dollar";"Yemeni Rial"
"USD/ZAR";"Exotic";"US Dollar";"South African Rand"
"USD/ZMK";"Exotic";"US Dollar";"Zambia Kwacha"
"UYU/ARS";"Exotic-Cross";"Uruguayan Peso";"Argentinian Peso"
"UYU/BOB";"Exotic-Cross";"Uruguayan Peso";"Bolivian Boliviano"
"UYU/BRL";"Exotic-Cross";"Uruguayan Peso";"Brazil Real"
